Serial #,userID,itemID,prediction
0,1,70128,4.952920437
1,1,75173,4.954018116
2,1,135206,4.958277702
3,1,120347,4.986495495
4,1,27317,4.973075867
5,1,35248,4.976042747
6,1,125219,4.973897457
7,1,99989,4.972111702
8,1,55655,4.979995251
9,1,105886,4.955644131
10,2,132216,4.981682777
11,2,130344,4.968425274
12,2,52671,4.989917755
13,2,75173,4.96785593
14,2,120347,4.972836971
15,2,58908,4.980211735
16,2,99989,4.991979122
17,2,66069,4.970729828
18,2,55655,4.990206242
19,2,61955,4.969021797
20,3,39479,4.971898079
21,3,75173,4.976930618
22,3,120347,4.973403931
23,3,26072,4.978594303
24,3,27317,4.982878685
25,3,60928,4.969290733
26,3,125219,4.977067947
27,3,99989,4.989267826
28,3,55655,4.992319584
29,3,105886,4.973360062
30,4,70128,4.999368668
31,4,32496,4.947409153
32,4,52671,4.961530209
33,4,11396,4.953260899
34,4,72327,4.968527794
35,4,35250,4.939602852
36,4,58908,4.990292549
37,4,61340,4.941953182
38,4,55655,4.940344334
39,4,105886,4.966421604
40,5,128621,4.997590542
41,5,7923,4.989688396
42,5,39479,4.974463463
43,5,52671,4.977707386
44,5,75173,4.968505383
45,5,120347,4.969006538
46,5,122285,4.960061073
47,5,69964,4.98238945
48,5,35248,4.962025642
49,5,58908,4.966614723
50,6,130344,4.953650475
51,6,7923,4.955677509
52,6,100981,4.954377651
53,6,52671,4.975065231
54,6,17032,4.960299492
55,6,110476,4.956973076
56,6,120347,4.954313755
57,6,35248,4.954640388
58,6,14027,4.957446575
59,6,99989,4.988612652
60,7,130344,4.971186638
61,7,100981,4.961575985
62,7,52671,4.9926157
63,7,75173,4.97813797
64,7,26072,4.969125748
65,7,35248,4.98170805
66,7,114440,4.970964909
67,7,101338,4.973463058
68,7,99989,4.986307144
69,7,55655,4.964960098
70,8,79813,4.987220287
71,8,31642,4.991182327
72,8,100981,4.944820881
73,8,120347,4.976201534
74,8,69,4.961053848
75,8,84734,4.968798637
76,8,66972,4.948777199
77,8,99989,4.975666523
78,8,55655,4.969547272
79,8,76449,4.944266319
80,9,42076,4.979136467
81,9,41139,4.959402561
82,9,8505,4.968495846
83,9,50055,4.961379528
84,9,52671,4.964404583
85,9,135212,4.971030235
86,9,72327,4.986940384
87,9,15486,4.976178169
88,9,58908,4.965178013
89,9,105886,4.985621929
90,10,130344,4.989170551
91,10,7923,4.971495628
92,10,75173,4.99523735
93,10,110476,4.973097801
94,10,15486,4.980540752
95,10,120347,4.988028526
96,10,27317,4.968682289
97,10,13760,4.969698429
98,10,55655,4.986831665
99,10,105886,4.965282917
100,11,33558,4.971700668
101,11,52671,4.991927624
102,11,110476,4.976951122
103,11,15486,4.968754292
104,11,120347,4.978599548
105,11,26072,4.984192371
106,11,4438,4.96451807
107,11,99989,4.983018875
108,11,66069,4.95920372
109,11,61955,4.96130085
110,12,132216,4.997437954
111,12,61525,4.995141506
112,12,43267,4.96378994
113,12,108424,4.969245911
114,12,100981,4.976503372
115,12,15486,4.979508877
116,12,56744,4.957632542
117,12,27317,4.968274593
118,12,114440,4.963562489
119,12,14276,4.955804825
120,13,36412,4.968239784
121,13,72656,4.953474522
122,13,100981,4.965479374
123,13,52671,4.953353882
124,13,18137,4.953162193
125,13,35250,4.964175701
126,13,35248,4.949098587
127,13,99989,4.991789818
128,13,55655,4.971317768
129,13,105886,4.981755733
130,14,108424,4.968860626
131,14,100981,4.961954117
132,14,63017,4.981204033
133,14,15486,4.969197273
134,14,117003,4.986098289
135,14,26072,4.972292423
136,14,85951,4.965429306
137,14,58908,4.965423584
138,14,99989,4.989157677
139,14,55655,4.96553421
140,15,7923,4.968063354
141,15,30952,4.963396072
142,15,52671,4.967523575
143,15,15486,4.98171711
144,15,120347,4.975283146
145,15,84734,4.98004055
146,15,27317,4.965884209
147,15,66972,4.964932919
148,15,99989,4.980369091
149,15,55655,4.978120804
150,16,1905,4.97833395
151,16,76598,4.976498127
152,16,100981,4.976059437
153,16,52671,4.972010136
154,16,15486,4.979577541
155,16,120347,4.965351582
156,16,60928,4.984714508
157,16,58908,4.965406418
158,16,99989,4.990311623
159,16,66069,4.983566761
160,17,63391,4.983066559
161,17,112362,4.998697281
162,17,130344,4.969336987
163,17,8505,4.973414421
164,17,35250,4.966394424
165,17,15486,4.991569996
166,17,84734,4.965836525
167,17,27317,4.973240376
168,17,66972,4.966507912
169,17,99989,4.976986885
170,18,70128,4.965864182
171,18,102798,4.999169827
172,18,56744,4.965537548
173,18,34880,4.98063755
174,18,99878,4.968797684
175,18,35248,4.974506378
176,18,66972,4.976924896
177,18,58908,4.977584362
178,18,48543,4.969222069
179,18,55655,4.990272045
180,19,132780,4.988678455
181,19,16544,4.984582424
182,19,130344,4.96682024
183,19,7923,4.971316338
184,19,92523,4.97297287
185,19,75173,4.974126339
186,19,17032,4.963814259
187,19,27317,4.977115631
188,19,99989,4.985723972
189,19,55655,4.970685005
190,20,70014,4.999217033
191,20,130344,4.963025093
192,20,7923,4.970446587
193,20,8505,4.95953989
194,20,100981,4.967804909
195,20,110476,4.969996452
196,20,26072,4.96877718
197,20,35248,4.954567432
198,20,125219,4.956881046
199,20,62338,4.955447197
200,21,43685,4.995144367
201,21,95525,4.964421749
202,21,8505,4.96124649
203,21,108424,4.968429089
204,21,52671,4.987949371
205,21,75173,4.995291233
206,21,15486,4.980504036
207,21,27317,4.975414753
208,21,58908,4.976670265
209,21,105886,4.976531982
210,22,130344,4.958394051
211,22,15486,4.958739758
212,22,120347,4.963231564
213,22,34880,4.953401566
214,22,99878,4.958463669
215,22,118330,4.958104134
216,22,62338,4.97858572
217,22,99989,4.993399143
218,22,55655,4.984349728
219,22,105886,4.972302437
220,23,50981,4.983035088
221,23,76598,4.973759651
222,23,8505,4.968666553
223,23,131131,4.967407227
224,23,52671,4.980821609
225,23,15486,4.981686115
226,23,26072,4.973838806
227,23,60928,4.983145714
228,23,58908,4.961302757
229,23,55655,4.98712492
230,24,17699,4.997549057
231,24,75173,4.982018948
232,24,110476,4.976342678
233,24,35250,4.974495411
234,24,27317,4.980799198
235,24,60928,4.983839035
236,24,125219,4.973334312
237,24,101338,4.982616901
238,24,99989,4.985843658
239,24,55655,4.990627289
240,25,130344,4.990797043
241,25,100981,4.954750538
242,25,52671,4.975156784
243,25,75173,4.985351086
244,25,117729,4.956864834
245,25,122285,4.967216969
246,25,69964,4.950055122
247,25,58908,4.957950592
248,25,99989,4.982167244
249,25,55655,4.973435879
250,26,128621,4.970253944
251,26,7923,4.974113464
252,26,8505,4.96547842
253,26,63017,4.983070374
254,26,52671,4.967623711
255,26,75173,4.996232986
256,26,15486,4.96814537
257,26,101338,4.968942642
258,26,99989,4.973160267
259,26,55655,4.993867397
260,27,44741,4.995698452
261,27,135206,4.964390755
262,27,15486,4.977044582
263,27,117003,4.949623108
264,27,34880,4.967702866
265,27,50150,4.94635582
266,27,5273,4.944037437
267,27,58908,4.976322651
268,27,99989,4.9929533
269,27,55655,4.98449707
270,28,52671,4.960886002
271,28,75173,4.991736889
272,28,120347,4.968470573
273,28,26072,4.960689068
274,28,73252,4.966755867
275,28,27317,4.970434666
276,28,35248,4.963448524
277,28,66972,4.980545044
278,28,114440,4.963538647
279,28,99989,4.985424042
280,29,95525,4.97028923
281,29,135481,4.986101151
282,29,103137,4.968062878
283,29,52671,4.977694035
